OBJECTID,name,introduction,difficulty,bikingTime,hasAlerts,introductionThumbnail,mountainBikingTrackWebPage,dateLoadedToGIS,Shape__Length
119344,Mutton Creek Track,This track links the lower sections of the West and East Manuherikia 4WD Tracks.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/ae225693672442ab86eb5d2056c33b7c.aspx,12/2/2025 8:41:17 AM,5495.97586493514
119345,Dog Gully Route,This marked route provides access from Otamatapaio Track up Dog Gully. The track is very steep and rough.,Expert,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/90520504964a48a8b64bf6eb736d3850.aspx,12/2/2025 8:41:17 AM,5397.78728457391
119346,Te Ara Mangawhero,Mountain bike through the Tongariro National Park including parts of historic tramways.,Easy,2 + hours,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3b274d748b804a41a9f5370e04a9719c.aspx,https://www.doc.govt.nz/link/bf1824a670534905b7aabe9a7da54ab0.aspx,12/2/2025 8:41:17 AM,6612.90015836277
119347,Manuka Hut Track,Walk or mountain bike from Lake Emily to Manuka Hut.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/06978d35597641228c434e61040a962e.aspx,https://www.doc.govt.nz/link/bc787326426b4d4db4f38b59902bde59.aspx,12/2/2025 8:41:17 AM,11992.3856651296
119348,Stour Track,Walk or mountain bike on this track beside the Stour River.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/68df766c7c084c11a2bc456bd215f0e9.aspx,https://www.doc.govt.nz/link/4b2e46ed955c4419855c6d902aa462db.aspx,12/2/2025 8:41:17 AM,14177.2809927313
119349,Urchin Campsite to Pillars of Hercules,A family friendly short walk starting from Urchin Campsite at the end of Kaimanawa Road.,Intermediate,15 m,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9f52d2cf41ad4560be2380a95e206ca7.jpg,https://www.doc.govt.nz/link/93792ad19f0f4732b8a087f15178c090.aspx,12/2/2025 8:41:17 AM,1338.2951073385
119350,Pūponga Hilltop Walk,"A day walk with fantastic coastal views. Ending at the beautiful Wharariki Beach, the track travels past the Pillar Point Lighthouse and Cape Farewell.",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ef383e0106234347a61a88b7fd517370.aspx,https://www.doc.govt.nz/link/4fa45d10fe8649a79f3219a7833251ce.aspx,12/2/2025 8:41:17 AM,7897.1405516755
119351,Pillar Point Lighthouse Track,A walking and mountain biking track to Pillar Point Lighthouse.,Easy,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1ff7176a3ab549ceab222e2fc3390e50.aspx,https://www.doc.govt.nz/link/50ab05f027c24ec785581ff2977b4c54.aspx,12/2/2025 8:41:16 AM,1062.31178372176
119352,Pūponga Farm Track / Green Hills Route,"Superb farmland, lakes, cliffs and wind-carved moorlands are features of this track.",Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/854b6af2766c42a1b46d84a58863df26.aspx,https://www.doc.govt.nz/link/69b7456b3e3448dfbbb13cd97eb36783.aspx,12/2/2025 8:41:16 AM,6361.36601470784
119353,Black Jack Track,A loop track in Pukatea/Whites Bay with views of Cook Strait.,"Intermediate, Advanced",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1cab67f9122c4e059ec66d013a82d478.aspx,https://www.doc.govt.nz/link/3a227ca5082e45dd83275db8809a77ce.aspx,12/2/2025 8:41:16 AM,3700.10839680855
